Train_No,Route_Number,Start_Station,End_Station,Total_Distance,Number_of_Stops,Total_Duration_Minutes
98027,1,CSMT,PNVL,49,2,77.0
98028,1,PNVL,CSMT,49,2,77.0
98029,1,CSMT,PNVL,49,2,77.0
98030,1,PNVL,CSMT,49,2,77.0
98031,1,VDLR,PNVL,39,2,62.0
98032,1,PNVL,VDLR,39,2,59.0
98033,1,CSMT,PNVL,49,2,77.0
98034,1,PNVL,CSMT,49,2,77.0
98035,1,CSMT,PNVL,49,2,78.0
98036,1,PNVL,CSMT,49,2,77.0
98037,1,CSMT,PNVL,49,2,80.0
98038,1,PNVL,CSMT,49,2,77.0
98039,1,CSMT,PNVL,49,2,77.0
98040,1,PNVL,VDLR,39,2,59.0
98041,1,CSMT,PNVL,49,2,77.0
98042,1,PNVL,CSMT,49,2,77.0
98043,1,CSMT,PNVL,49,2,77.0
98044,1,PNVL,CSMT,49,2,78.0
98045,1,CSMT,PNVL,49,2,77.0
98046,1,PNVL,CSMT,49,2,78.0
98047,1,CSMT,PNVL,49,2,77.0
98048,1,PNVL,CSMT,49,2,77.0
98049,1,CSMT,PNVL,49,2,77.0
98050,1,PNVL,CSMT,49,2,77.0
98051,1,VDLR,PNVL,39,2,59.0
98052,1,PNVL,CSMT,49,2,77.0
98053,1,CSMT,PNVL,49,2,77.0
98054,1,PNVL,CSMT,49,2,77.0
98055,1,CSMT,PNVL,49,2,78.0
98056,1,PNVL,CSMT,49,2,79.0
98057,1,CSMT,PNVL,49,2,78.0
98058,1,PNVL,CSMT,49,2,77.0
98059,1,CSMT,PNVL,49,2,77.0
98060,1,PNVL,CSMT,49,2,77.0
98061,1,CSMT,PNVL,49,2,77.0
98062,1,PNVL,CSMT,49,2,77.0
98063,1,CSMT,PNVL,49,2,78.0
98064,1,PNVL,CSMT,49,2,77.0
98065,1,CSMT,PNVL,49,2,77.0
98066,1,PNVL,CSMT,49,2,78.0
98067,1,CSMT,PNVL,49,2,77.0
98068,1,PNVL,CSMT,49,2,77.0
98069,1,CSMT,PNVL,49,2,77.0
98070,1,PNVL,CSMT,49,2,77.0
